94923,94223,1569
186069,185534,1163
186069,188057,514
186069,189824,570
222867,222204,1628
222867,225658,1151
272360,172069,1609
272360,273493,996
365384,264937,1375
365384,269138,577
397957,231467,1543
397957,299835,755
397957,301448,639
457722,291267,1761
475839,272637,1017
475839,311948,955
475839,313829,1271
529769,326123,1556
529769,329388,1616
560775,294555,1482
560775,359903,697
633671,221264,1797
633671,371930,1645
687876,275810,1319
687876,277600,509
687876,279016,1929
775402,363344,1252
790398,347720,1193
790398,380447,620
790398,382292,1542
863033,420477,1015
863033,424573,1470
904638,378217,1412
904638,464203,944
960600,434161,1606
960600,437563,837
1015351,488891,1687
1015351,491149,931
1015351,492621,1572
1049375,522727,1393
1084045,487215,1744
1084045,560021,835
1084045,561232,645
1123183,526258,1665
1123183,530169,1872
1172215,575698,1298
1172215,578087,753
1209966,613188,1781
1209966,617706,977
1243334,579160,1614
1243334,648360,892
1243334,650426,772
1275670,611246,1863
1339647,675314,1615
1339647,678024,600
1339647,680057,680
1388785,625370,1472
1388785,728451,1368
1475269,712063,1497
1475269,714335,626
1515383,751903,1392
1515383,756205,572
1598762,835534,1321
1598762,837324,973
1598762,839685,1496
1646169,787227,1585
1680540,821883,1303
1680540,824253,595
1680540,825682,1492
1701779,843001,1539
1701779,846510,774
1778584,919718,1416
1778584,921865,973
1849743,847565,1841
1849743,994748,645
1871908,825513,1535
1871908,871738,976
1871908,873026,725
1911768,785727,1646
1965810,839861,1251
1965810,842184,889
1965810,843130,1103
2007296,797632,1543
2007296,884271,752
2024962,815081,1858
2024962,817946,736
2041974,832377,1298
2041974,835586,1640
2081106,871558,1542
2081106,873944,506
2081106,874786,938
2145450,806337,1839
2223583,884383,1737
2223583,886772,609
2223583,889202,949
2289833,950960,1163
2289833,955300,1895
2313576,926381,1608
2313576,976392,731
2331431,944522,1512
2331431,947575,1377
2368152,980898,1731
2368152,983093,999
2368152,985522,761
2449497,1062576,1306
2495499,1015939,1332
2495499,1111075,997
2495499,1112835,1775
2529285,981870,1830
2529285,1054037,1115
2544109,996680,1539
2544109,999336,854
2581349,1034296,1067
2581349,1037357,957
2609527,1062326,1370
2609527,1064676,959
2609527,1066557,1307
2680069,990925,1421
2729544,1040351,1642
2729544,1042490,586
2729544,1044443,1075
2805405,1116562,1298
2805405,1120884,1199
2892950,1203822,1569
2892950,1206213,964
2973421,1122647,1558
2973421,1288057,1015
3028647,1067479,1359
3028647,1179750,723
3028647,1182361,925
3122606,1161368,1502
3182219,1101061,1430
3182219,1223224,834
3182219,1224549,1334
3225182,1058244,1275
3225182,1147527,1101
3249254,1034202,1160
3249254,1084125,970
3280609,1065317,1719
3280609,1068923,1859
3342092,1003244,1152
3342092,1128751,813
3342092,1130743,1786
3357855,1018975,1409
3403299,1064070,1831
3403299,1066161,956
3403299,1067824,1747
3455858,1116947,1584
3455858,1120565,1684
3528196,1044082,1470
3528196,1190987,572
3562154,1009702,1905
3562154,1082434,1856
3615716,1063595,1573
3615716,1066105,521
3615716,1067351,1197
3710523,1158077,1594
3732382,1180310,1273
3732382,1182726,680
3732382,1183320,550
3755814,1156194,1435
3755814,1207329,845
3850881,1251388,1160
3850881,1253758,775
3938018,1338524,1288
3938018,1342157,1029
4012006,1412368,1331
4012006,1414375,551
4012006,1415283,1777
4027412,1395972,1658
4105923,1317793,1331
4105923,1477231,827
4105923,1478385,1212
4132543,1344441,1277
4132543,1347788,1684
4142960,1354974,1186
4142960,1356587,633
4211859,1285323,1478
4211859,1428208,714
4225692,1299135,1287
4225692,1301888,721
4225692,1302402,517
4277293,1350764,1344
4376082,1449343,1542
4376082,1452031,835
4376082,1453076,1295
4457487,1367408,1077
4457487,1535161,1241
4552082,1461559,1849
4552082,1464033,724
4583476,1493137,1768
4583476,1497263,1134
4593832,1503719,1320
4593832,1506054,830
4593832,1507657,1784
4685938,1410952,1256
4768331,1328314,1854
