16,1,12
30,1,11
30,25,5
59,1,18
74,1,13
74,34,5
86,1,11
101,6,13
101,37,8
120,1,7
135,8,16
135,43,8
153,1,17
179,1,6
179,53,3
191,9,8
201,1,11
201,34,4
219,1,14
237,12,11
237,46,7
254,27,16
275,48,17
275,68,9
285,31,12
299,47,11
299,77,8
317,65,13
335,82,9
335,98,7
357,58,7
384,80,15
384,110,8
403,103,13
425,123,15
425,153,8
451,94,12
475,113,15
475,132,5
494,131,18
505,144,14
505,177,4
523,124,12
551,145,12
551,166,5
568,126,8
587,101,14
587,172,5
615,79,12
631,91,15
631,124,7
657,121,11
678,142,10
678,168,6
700,114,12
719,132,14
719,160,6
743,156,15
764,180,9
764,203,5
775,165,8
797,185,15
797,208,6
815,206,13
844,229,18
844,264,6
856,208,19
869,223,16
869,246,9
881,238,7
893,251,10
893,275,9
915,227,5
930,235,16
930,261,9
945,257,5
974,284,9
974,301,4
991,260,10
1005,273,14
1005,300,7
1034,304,11
1055,326,9
1055,350,5
1070,302,16
1098,336,9
1098,365,9
1112,345,17
1131,368,7
1131,393,9
1149,346,9
1163,327,17
1163,378,6
1182,309,12
1193,325,7
1193,346,9
1211,343,13
1239,371,13
1239,402,9
1258,247,110
